"","instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt"
"668",668,2011-01-31,1,0,1,3,0,1,1,1,0.22,0.2273,0.64,0.194,0,2,2
"669",669,2011-01-31,1,0,1,4,0,1,1,1,0.2,0.197,0.59,0.2239,0,2,2
"670",670,2011-01-31,1,0,1,5,0,1,1,1,0.18,0.1667,0.64,0.2836,0,8,8
"671",671,2011-01-31,1,0,1,6,0,1,1,1,0.16,0.1364,0.69,0.3284,0,37,37
"672",672,2011-01-31,1,0,1,7,0,1,1,2,0.16,0.1364,0.64,0.2836,1,71,72
"673",673,2011-01-31,1,0,1,8,0,1,1,2,0.16,0.1364,0.59,0.2836,3,182,185
"674",674,2011-01-31,1,0,1,9,0,1,1,2,0.16,0.1364,0.59,0.2985,0,112,112
"675",675,2011-01-31,1,0,1,10,0,1,1,2,0.16,0.1515,0.59,0.194,1,68,69
"676",676,2011-01-31,1,0,1,11,0,1,1,2,0.16,0.1515,0.59,0.194,2,46,48
"677",677,2011-01-31,1,0,1,12,0,1,1,2,0.18,0.2121,0.55,0.1045,6,62,68
"678",678,2011-01-31,1,0,1,13,0,1,1,2,0.16,0.2273,0.59,0,2,52,54
"679",679,2011-01-31,1,0,1,14,0,1,1,2,0.18,0.197,0.55,0.1343,1,85,86
"680",680,2011-01-31,1,0,1,15,0,1,1,2,0.16,0.1818,0.59,0.1343,3,41,44
"681",681,2011-01-31,1,0,1,16,0,1,1,2,0.16,0.1818,0.56,0.194,3,83,86
"682",682,2011-01-31,1,0,1,17,0,1,1,2,0.16,0.1515,0.59,0.194,6,155,161
"683",683,2011-01-31,1,0,1,18,0,1,1,2,0.16,0.1515,0.55,0.2239,3,153,156
"684",684,2011-01-31,1,0,1,19,0,1,1,1,0.3,0.3182,0.61,0.1045,3,108,111
"685",685,2011-01-31,1,0,1,20,0,1,1,3,0.16,0.1667,0.59,0.1642,0,78,78
"686",686,2011-01-31,1,0,1,21,0,1,1,3,0.16,0.197,0.59,0.0896,3,53,56
"687",687,2011-01-31,1,0,1,22,0,1,1,2,0.16,0.1818,0.59,0.1045,0,34,34
"688",688,2011-01-31,1,0,1,23,0,1,1,2,0.16,0.197,0.64,0.0896,2,15,17
"689",689,2011-02-01,1,0,2,0,0,2,1,2,0.16,0.1818,0.64,0.1045,2,6,8
"690",690,2011-02-01,1,0,2,1,0,2,1,2,0.16,0.1818,0.69,0.1045,0,3,3
"691",691,2011-02-01,1,0,2,2,0,2,1,2,0.16,0.2273,0.69,0,0,2,2
"692",692,2011-02-01,1,0,2,3,0,2,1,2,0.16,0.2273,0.69,0,0,2,2
"693",693,2011-02-01,1,0,2,5,0,2,1,3,0.14,0.2121,0.93,0,0,3,3
"694",694,2011-02-01,1,0,2,6,0,2,1,3,0.14,0.2121,0.93,0,0,22,22
"695",695,2011-02-01,1,0,2,7,0,2,1,3,0.16,0.2273,0.93,0,0,52,52
"696",696,2011-02-01,1,0,2,8,0,2,1,3,0.16,0.2273,0.93,0,3,132,135
"697",697,2011-02-01,1,0,2,9,0,2,1,2,0.16,0.2273,0.93,0,2,114,116
"698",698,2011-02-01,1,0,2,10,0,2,1,2,0.16,0.2273,0.93,0,0,47,47
"699",699,2011-02-01,1,0,2,11,0,2,1,2,0.18,0.2424,0.86,0,2,49,51
"700",700,2011-02-01,1,0,2,12,0,2,1,2,0.2,0.2576,0.86,0,2,53,55
"701",701,2011-02-01,1,0,2,13,0,2,1,2,0.2,0.2576,0.86,0,3,49,52
"702",702,2011-02-01,1,0,2,14,0,2,1,2,0.22,0.2576,0.8,0.0896,5,49,54
"703",703,2011-02-01,1,0,2,15,0,2,1,2,0.24,0.2879,0.75,0,7,45,52
"704",704,2011-02-01,1,0,2,16,0,2,1,2,0.24,0.2424,0.75,0.1343,3,61,64
"705",705,2011-02-01,1,0,2,17,0,2,1,2,0.24,0.2879,0.75,0,4,172,176
"706",706,2011-02-01,1,0,2,18,0,2,1,2,0.24,0.2576,0.81,0.1045,3,165,168
"707",707,2011-02-01,1,0,2,19,0,2,1,2,0.24,0.2424,0.81,0.1343,3,105,108
"708",708,2011-02-01,1,0,2,20,0,2,1,2,0.22,0.2273,0.87,0.1343,5,69,74
"709",709,2011-02-01,1,0,2,21,0,2,1,2,0.22,0.2273,0.87,0.1343,0,64,64
"710",710,2011-02-01,1,0,2,22,0,2,1,2,0.22,0.2576,0.87,0.0896,2,34,36
"711",711,2011-02-01,1,0,2,23,0,2,1,3,0.2,0.197,0.93,0.194,1,15,16
"712",712,2011-02-02,1,0,2,0,0,3,1,3,0.22,0.2424,0.93,0.1045,0,2,2
"713",713,2011-02-02,1,0,2,1,0,3,1,3,0.22,0.2273,0.93,0.194,0,3,3
"714",714,2011-02-02,1,0,2,2,0,3,1,3,0.22,0.2273,0.93,0.1343,4,0,4
"715",715,2011-02-02,1,0,2,3,0,3,1,3,0.22,0.2273,0.93,0.1343,0,1,1
"716",716,2011-02-02,1,0,2,4,0,3,1,3,0.22,0.2121,0.93,0.2836,0,1,1
"717",717,2011-02-02,1,0,2,5,0,3,1,3,0.22,0.2424,0.93,0.1045,0,3,3
"718",718,2011-02-02,1,0,2,6,0,3,1,3,0.22,0.2424,0.93,0.1045,1,17,18
"719",719,2011-02-02,1,0,2,7,0,3,1,3,0.22,0.2121,0.93,0.2239,1,48,49
"720",720,2011-02-02,1,0,2,8,0,3,1,3,0.22,0.2121,0.93,0.2239,1,154,155
"721",721,2011-02-02,1,0,2,9,0,3,1,2,0.24,0.2576,0.93,0.0896,4,119,123
"722",722,2011-02-02,1,0,2,10,0,3,1,2,0.22,0.2727,1,0,2,59,61
"723",723,2011-02-02,1,0,2,11,0,3,1,2,0.24,0.2273,0.93,0.194,5,47,52
"724",724,2011-02-02,1,0,2,12,0,3,1,2,0.24,0.2273,0.93,0.2239,3,61,64
"725",725,2011-02-02,1,0,2,13,0,3,1,1,0.34,0.3333,0.93,0.1642,1,74,75
"726",726,2011-02-02,1,0,2,14,0,3,1,1,0.38,0.3939,0.82,0.3881,2,61,63
"727",727,2011-02-02,1,0,2,15,0,3,1,1,0.38,0.3939,0.76,0.3284,10,66,76
"728",728,2011-02-02,1,0,2,16,0,3,1,1,0.36,0.3333,0.71,0.2985,8,95,103
"729",729,2011-02-02,1,0,2,17,0,3,1,1,0.36,0.3182,0.53,0.5224,7,183,190
"730",730,2011-02-02,1,0,2,18,0,3,1,1,0.34,0.2879,0.42,0.5522,7,175,182
"731",731,2011-02-02,1,0,2,19,0,3,1,1,0.28,0.2424,0.45,0.4925,3,88,91
"732",732,2011-02-02,1,0,2,20,0,3,1,1,0.24,0.197,0.48,0.5522,4,71,75
"733",733,2011-02-02,1,0,2,21,0,3,1,1,0.22,0.197,0.47,0.3284,1,62,63
"734",734,2011-02-02,1,0,2,22,0,3,1,1,0.22,0.2121,0.44,0.2537,5,35,40
"735",735,2011-02-02,1,0,2,23,0,3,1,1,0.2,0.1667,0.44,0.4478,3,29,32
"736",736,2011-02-03,1,0,2,0,0,4,1,1,0.2,0.1667,0.4,0.4478,1,11,12
"737",737,2011-02-03,1,0,2,1,0,4,1,1,0.2,0.1515,0.44,0.5224,0,5,5
"738",738,2011-02-03,1,0,2,2,0,4,1,1,0.18,0.1667,0.43,0.2537,0,2,2
"739",739,2011-02-03,1,0,2,3,0,4,1,1,0.18,0.1667,0.43,0.2537,0,1,1
"740",740,2011-02-03,1,0,2,5,0,4,1,1,0.16,0.1364,0.5,0.2985,0,2,2
"741",741,2011-02-03,1,0,2,6,0,4,1,1,0.16,0.1364,0.43,0.3582,0,39,39
"742",742,2011-02-03,1,0,2,7,0,4,1,1,0.14,0.1212,0.5,0.3284,1,86,87
"743",743,2011-02-03,1,0,2,8,0,4,1,1,0.14,0.1212,0.5,0.3582,4,184,188
"744",744,2011-02-03,1,0,2,9,0,4,1,1,0.16,0.1364,0.47,0.2985,6,127,133
"745",745,2011-02-03,1,0,2,10,0,4,1,1,0.18,0.1515,0.43,0.3284,2,50,52
"746",746,2011-02-03,1,0,2,11,0,4,1,1,0.18,0.1364,0.43,0.4478,9,55,64
"747",747,2011-02-03,1,0,2,12,0,4,1,1,0.2,0.1818,0.4,0.3582,2,67,69
"748",748,2011-02-03,1,0,2,13,0,4,1,1,0.2,0.1667,0.4,0.4179,4,47,51
"749",749,2011-02-03,1,0,2,14,0,4,1,1,0.22,0.197,0.37,0.3881,4,43,47
"750",750,2011-02-03,1,0,2,15,0,4,1,1,0.22,0.197,0.37,0.3284,4,56,60
"751",751,2011-02-03,1,0,2,16,0,4,1,1,0.22,0.2121,0.37,0.2537,5,73,78
"752",752,2011-02-03,1,0,2,17,0,4,1,1,0.2,0.197,0.4,0.194,5,170,175
"753",753,2011-02-03,1,0,2,18,0,4,1,1,0.2,0.2121,0.4,0.1642,2,145,147
"754",754,2011-02-03,1,0,2,19,0,4,1,1,0.2,0.2576,0.4,0,4,92,96
"755",755,2011-02-03,1,0,2,20,0,4,1,1,0.2,0.2273,0.47,0.0896,1,108,109
"756",756,2011-02-03,1,0,2,21,0,4,1,1,0.18,0.2121,0.55,0.1045,1,53,54
"757",757,2011-02-03,1,0,2,22,0,4,1,1,0.18,0.2121,0.51,0.0896,2,39,41
"758",758,2011-02-03,1,0,2,23,0,4,1,1,0.2,0.2273,0.47,0.1045,4,34,38
"759",759,2011-02-04,1,0,2,0,0,5,1,2,0.2,0.2576,0.44,0,3,10,13
"760",760,2011-02-04,1,0,2,1,0,5,1,2,0.16,0.2273,0.59,0,0,7,7
"761",761,2011-02-04,1,0,2,2,0,5,1,2,0.14,0.1667,0.63,0.1045,0,1,1
"762",762,2011-02-04,1,0,2,3,0,5,1,2,0.14,0.1667,0.63,0.1045,0,1,1
"763",763,2011-02-04,1,0,2,5,0,5,1,2,0.14,0.1515,0.63,0.1343,0,7,7
"764",764,2011-02-04,1,0,2,6,0,5,1,2,0.16,0.2273,0.55,0,2,26,28
"765",765,2011-02-04,1,0,2,7,0,5,1,1,0.14,0.2121,0.59,0,0,87,87
"766",766,2011-02-04,1,0,2,8,0,5,1,1,0.14,0.1515,0.74,0.1343,3,217,220
"767",767,2011-02-04,1,0,2,9,0,5,1,2,0.16,0.1818,0.8,0.1343,3,124,127
"768",768,2011-02-04,1,0,2,10,0,5,1,2,0.2,0.2121,0.51,0.1343,5,46,51
"769",769,2011-02-04,1,0,2,11,0,5,1,1,0.22,0.2273,0.51,0.1642,3,61,64
"770",770,2011-02-04,1,0,2,12,0,5,1,2,0.24,0.2424,0.48,0.1642,8,78,86
"771",771,2011-02-04,1,0,2,13,0,5,1,2,0.26,0.2576,0.5,0.2239,9,73,82
"772",772,2011-02-04,1,0,2,14,0,5,1,2,0.28,0.2727,0.45,0.1642,15,76,91
"773",773,2011-02-04,1,0,2,15,0,5,1,2,0.28,0.2727,0.48,0.2537,9,81,90
"774",774,2011-02-04,1,0,2,16,0,5,1,2,0.3,0.2879,0.42,0.2239,8,91,99
"775",775,2011-02-04,1,0,2,17,0,5,1,2,0.26,0.2727,0.56,0.1343,10,195,205
"776",776,2011-02-04,1,0,2,18,0,5,1,2,0.24,0.2576,0.6,0.1045,3,152,155
"777",777,2011-02-04,1,0,2,19,0,5,1,2,0.24,0.2424,0.65,0.1343,1,102,103
"778",778,2011-02-04,1,0,2,20,0,5,1,2,0.24,0.2424,0.65,0.1642,2,69,71
"779",779,2011-02-04,1,0,2,21,0,5,1,2,0.24,0.2424,0.7,0.1642,2,41,43
"780",780,2011-02-04,1,0,2,22,0,5,1,2,0.24,0.2424,0.65,0.1642,1,45,46
"781",781,2011-02-04,1,0,2,23,0,5,1,2,0.24,0.2424,0.7,0.1343,1,30,31
"782",782,2011-02-05,1,0,2,0,0,6,0,2,0.24,0.2424,0.7,0.1642,3,36,39
"783",783,2011-02-05,1,0,2,1,0,6,0,2,0.24,0.2424,0.65,0.1642,1,17,18
"784",784,2011-02-05,1,0,2,2,0,6,0,2,0.24,0.2424,0.75,0.1642,5,12,17
"785",785,2011-02-05,1,0,2,3,0,6,0,2,0.24,0.2424,0.75,0.1642,1,10,11
"786",786,2011-02-05,1,0,2,4,0,6,0,3,0.22,0.2273,0.93,0.1343,0,8,8
"787",787,2011-02-05,1,0,2,5,0,6,0,3,0.2,0.2273,1,0.0896,0,9,9
"788",788,2011-02-05,1,0,2,6,0,6,0,3,0.2,0.2576,1,0,0,4,4
"789",789,2011-02-05,1,0,2,7,0,6,0,3,0.22,0.2576,0.93,0.0896,0,4,4
"790",790,2011-02-05,1,0,2,8,0,6,0,3,0.2,0.2273,1,0.0896,0,10,10
"791",791,2011-02-05,1,0,2,9,0,6,0,3,0.2,0.2273,1,0.0896,3,17,20
"792",792,2011-02-05,1,0,2,10,0,6,0,3,0.2,0.2121,1,0.1343,3,31,34
"793",793,2011-02-05,1,0,2,11,0,6,0,3,0.22,0.2273,1,0.1343,1,46,47
"794",794,2011-02-05,1,0,2,12,0,6,0,3,0.22,0.2273,1,0.1642,10,42,52
"795",795,2011-02-05,1,0,2,13,0,6,0,3,0.22,0.2273,1,0.1642,10,62,72
"796",796,2011-02-05,1,0,2,14,0,6,0,3,0.22,0.2727,1,0,5,50,55
"797",797,2011-02-05,1,0,2,15,0,6,0,3,0.22,0.2727,1,0,11,49,60
"798",798,2011-02-05,1,0,2,16,0,6,0,3,0.22,0.2273,1,0.1343,8,63,71
"799",799,2011-02-05,1,0,2,17,0,6,0,2,0.24,0.2121,1,0.2836,14,64,78
"800",800,2011-02-05,1,0,2,18,0,6,0,2,0.28,0.2424,0.93,0.4478,2,81,83
"801",801,2011-02-05,1,0,2,19,0,6,0,2,0.28,0.2424,0.93,0.4478,6,78,84
"802",802,2011-02-05,1,0,2,20,0,6,0,1,0.3,0.2879,0.87,0.2537,5,64,69
"803",803,2011-02-05,1,0,2,21,0,6,0,1,0.26,0.2576,1,0.194,3,53,56
"804",804,2011-02-05,1,0,2,22,0,6,0,1,0.26,0.2727,0.93,0.1343,2,43,45
"805",805,2011-02-05,1,0,2,23,0,6,0,1,0.26,0.2576,0.93,0.2239,7,52,59
"806",806,2011-02-06,1,0,2,0,0,0,0,1,0.26,0.2576,0.7,0.194,2,37,39
"807",807,2011-02-06,1,0,2,1,0,0,0,1,0.26,0.2273,0.65,0.4179,4,40,44
"808",808,2011-02-06,1,0,2,2,0,0,0,1,0.26,0.2273,0.6,0.3284,0,20,20
"809",809,2011-02-06,1,0,2,3,0,0,0,1,0.26,0.2879,0.6,0.0896,3,10,13
"810",810,2011-02-06,1,0,2,4,0,0,0,1,0.26,0.2273,0.6,0.3582,0,2,2
"811",811,2011-02-06,1,0,2,5,0,0,0,1,0.26,0.2576,0.6,0.2239,0,1,1
"812",812,2011-02-06,1,0,2,6,0,0,0,1,0.26,0.2576,0.6,0.2239,0,1,1
"813",813,2011-02-06,1,0,2,7,0,0,0,1,0.24,0.2424,0.65,0.1642,0,8,8
"814",814,2011-02-06,1,0,2,8,0,0,0,1,0.24,0.2576,0.65,0.1045,2,21,23
"815",815,2011-02-06,1,0,2,9,0,0,0,1,0.28,0.2879,0.56,0.1045,7,38,45
"816",816,2011-02-06,1,0,2,10,0,0,0,1,0.3,0.2879,0.52,0.2537,15,74,89
"817",817,2011-02-06,1,0,2,11,0,0,0,1,0.32,0.303,0.49,0.2537,28,89,117
"818",818,2011-02-06,1,0,2,12,0,0,0,1,0.34,0.3333,0.46,0,48,126,174
"819",819,2011-02-06,1,0,2,13,0,0,0,1,0.34,0.3636,0.46,0,47,135,182
"820",820,2011-02-06,1,0,2,14,0,0,0,1,0.34,0.3485,0.46,0.0896,47,114,161
"821",821,2011-02-06,1,0,2,15,0,0,0,1,0.34,0.3485,0.46,0.0896,52,130,182
"822",822,2011-02-06,1,0,2,16,0,0,0,1,0.34,0.3485,0.49,0.1045,42,115,157
"823",823,2011-02-06,1,0,2,17,0,0,0,1,0.34,0.3636,0.46,0,24,97,121
"824",824,2011-02-06,1,0,2,18,0,0,0,1,0.3,0.303,0.56,0.1642,13,65,78
"825",825,2011-02-06,1,0,2,19,0,0,0,1,0.28,0.2879,0.61,0.1343,1,20,21
"826",826,2011-02-06,1,0,2,20,0,0,0,1,0.28,0.2879,0.61,0.1045,5,21,26
"827",827,2011-02-06,1,0,2,21,0,0,0,1,0.26,0.303,0.6,0,5,22,27
"828",828,2011-02-06,1,0,2,22,0,0,0,1,0.26,0.303,0.6,0,5,57,62
"829",829,2011-02-06,1,0,2,23,0,0,0,1,0.24,0.2879,0.65,0,4,26,30
"830",830,2011-02-07,1,0,2,0,0,1,1,1,0.24,0.2879,0.65,0,1,14,15
"831",831,2011-02-07,1,0,2,1,0,1,1,1,0.22,0.2727,0.75,0,1,4,5
"832",832,2011-02-07,1,0,2,2,0,1,1,1,0.2,0.2576,0.8,0,0,3,3
"833",833,2011-02-07,1,0,2,3,0,1,1,1,0.2,0.2576,0.86,0,0,1,1
"834",834,2011-02-07,1,0,2,4,0,1,1,1,0.2,0.2576,0.86,0,1,1,2
"835",835,2011-02-07,1,0,2,5,0,1,1,1,0.2,0.2576,0.86,0,1,9,10
"836",836,2011-02-07,1,0,2,6,0,1,1,1,0.18,0.2424,0.93,0,1,29,30
"837",837,2011-02-07,1,0,2,7,0,1,1,1,0.18,0.2424,0.86,0,6,89,95
"838",838,2011-02-07,1,0,2,8,0,1,1,2,0.16,0.2273,1,0,7,223,230
"839",839,2011-02-07,1,0,2,9,0,1,1,1,0.22,0.2727,0.8,0,3,115,118
"840",840,2011-02-07,1,0,2,10,0,1,1,1,0.24,0.2576,0.75,0.1045,6,49,55
"841",841,2011-02-07,1,0,2,11,0,1,1,1,0.3,0.3182,0.65,0.0896,11,36,47
"842",842,2011-02-07,1,0,2,12,0,1,1,2,0.32,0.3485,0.62,0,7,59,66
"843",843,2011-02-07,1,0,2,13,0,1,1,2,0.36,0.3636,0.57,0.0896,10,54,64
"844",844,2011-02-07,1,0,2,14,0,1,1,2,0.36,0.3636,0.57,0.0896,8,52,60
"845",845,2011-02-07,1,0,2,15,0,1,1,2,0.38,0.3939,0.54,0.0896,4,46,50
"846",846,2011-02-07,1,0,2,16,0,1,1,2,0.36,0.3485,0.57,0.1343,16,98,114
"847",847,2011-02-07,1,0,2,17,0,1,1,2,0.32,0.3182,0.7,0.1642,9,207,216
"848",848,2011-02-07,1,0,2,18,0,1,1,2,0.34,0.3333,0.66,0.1343,5,170,175
"849",849,2011-02-07,1,0,2,19,0,1,1,2,0.32,0.3485,0.7,0,5,123,128
"850",850,2011-02-07,1,0,2,20,0,1,1,2,0.32,0.3333,0.7,0.1045,6,82,88
"851",851,2011-02-07,1,0,2,21,0,1,1,1,0.32,0.3485,0.7,0,3,75,78
"852",852,2011-02-07,1,0,2,22,0,1,1,1,0.28,0.303,0.81,0.0896,3,34,37
"853",853,2011-02-07,1,0,2,23,0,1,1,2,0.3,0.3333,0.81,0,6,19,25
"854",854,2011-02-08,1,0,2,0,0,2,1,2,0.28,0.3182,0.87,0,4,6,10
"855",855,2011-02-08,1,0,2,1,0,2,1,2,0.28,0.3182,0.87,0,0,4,4
"856",856,2011-02-08,1,0,2,2,0,2,1,2,0.26,0.2727,0.93,0.1045,1,1,2
"857",857,2011-02-08,1,0,2,3,0,2,1,3,0.28,0.2727,0.93,0.1642,0,1,1
"858",858,2011-02-08,1,0,2,4,0,2,1,1,0.26,0.2576,0.93,0.1642,0,3,3
"859",859,2011-02-08,1,0,2,5,0,2,1,1,0.26,0.2273,0.81,0.3284,0,2,2
"860",860,2011-02-08,1,0,2,6,0,2,1,1,0.26,0.2273,0.7,0.3284,0,39,39
"861",861,2011-02-08,1,0,2,7,0,2,1,1,0.24,0.197,0.65,0.4179,3,97,100
"862",862,2011-02-08,1,0,2,8,0,2,1,1,0.24,0.197,0.56,0.4925,7,236,243
"863",863,2011-02-08,1,0,2,9,0,2,1,1,0.24,0.197,0.52,0.4925,7,128,135
"864",864,2011-02-08,1,0,2,10,0,2,1,1,0.22,0.1818,0.47,0.5522,4,44,48
"865",865,2011-02-08,1,0,2,11,0,2,1,1,0.22,0.1818,0.47,0.4627,1,49,50
"866",866,2011-02-08,1,0,2,12,0,2,1,1,0.24,0.197,0.38,0.4925,2,63,65
"867",867,2011-02-08,1,0,2,13,0,2,1,2,0.24,0.197,0.32,0.4478,2,48,50
"868",868,2011-02-08,1,0,2,14,0,2,1,1,0.22,0.197,0.37,0.4179,3,61,64
"869",869,2011-02-08,1,0,2,15,0,2,1,1,0.22,0.197,0.35,0.3881,6,45,51
"870",870,2011-02-08,1,0,2,16,0,2,1,1,0.22,0.1818,0.35,0.5224,4,79,83
"871",871,2011-02-08,1,0,2,17,0,2,1,1,0.22,0.1818,0.32,0.5821,4,172,176
"872",872,2011-02-08,1,0,2,18,0,2,1,1,0.2,0.1818,0.32,0.3881,1,151,152
"873",873,2011-02-08,1,0,2,19,0,2,1,1,0.16,0.1212,0.4,0.4627,1,100,101
"874",874,2011-02-08,1,0,2,20,0,2,1,1,0.16,0.1364,0.4,0.3284,3,53,56
"875",875,2011-02-08,1,0,2,21,0,2,1,1,0.14,0.1061,0.33,0.4627,8,46,54
"876",876,2011-02-08,1,0,2,22,0,2,1,1,0.12,0.1061,0.33,0.3582,0,29,29
"877",877,2011-02-08,1,0,2,23,0,2,1,1,0.12,0.1061,0.33,0.3284,3,9,12
"878",878,2011-02-09,1,0,2,0,0,3,1,1,0.1,0.0758,0.36,0.3582,0,17,17
"879",879,2011-02-09,1,0,2,1,0,3,1,1,0.1,0.1061,0.36,0.2239,0,7,7
"880",880,2011-02-09,1,0,2,2,0,3,1,1,0.08,0.0758,0.38,0.2836,1,2,3
"881",881,2011-02-09,1,0,2,3,0,3,1,1,0.06,0.0758,0.45,0.1343,0,2,2
"882",882,2011-02-09,1,0,2,5,0,3,1,1,0.06,0.1061,0.45,0.1045,0,7,7
"883",883,2011-02-09,1,0,2,6,0,3,1,1,0.06,0.1515,0.45,0,0,43,43
"884",884,2011-02-09,1,0,2,7,0,3,1,1,0.06,0.1061,0.49,0.1045,4,95,99
"885",885,2011-02-09,1,0,2,8,0,3,1,1,0.1,0.1364,0.42,0,1,198,199
"886",886,2011-02-09,1,0,2,9,0,3,1,1,0.12,0.1364,0.39,0.1642,4,119,123
"887",887,2011-02-09,1,0,2,10,0,3,1,1,0.14,0.1818,0.36,0,8,51,59
"888",888,2011-02-09,1,0,2,11,0,3,1,2,0.14,0.1515,0.43,0.1642,1,40,41
"889",889,2011-02-09,1,0,2,12,0,3,1,2,0.18,0.1818,0.4,0.2239,4,57,61
"890",890,2011-02-09,1,0,2,13,0,3,1,1,0.18,0.1667,0.4,0.2537,2,67,69
"891",891,2011-02-09,1,0,2,14,0,3,1,1,0.2,0.1818,0.34,0.2985,2,56,58
"892",892,2011-02-09,1,0,2,15,0,3,1,2,0.2,0.1818,0.34,0.2836,3,61,64
"893",893,2011-02-09,1,0,2,16,0,3,1,2,0.2,0.197,0.37,0.2537,7,72,79
"894",894,2011-02-09,1,0,2,17,0,3,1,2,0.2,0.197,0.34,0.2537,9,157,166
"895",895,2011-02-09,1,0,2,18,0,3,1,2,0.18,0.1667,0.47,0.2985,2,168,170
"896",896,2011-02-09,1,0,2,19,0,3,1,3,0.14,0.1212,0.86,0.2537,1,87,88
"897",897,2011-02-09,1,0,2,20,0,3,1,3,0.14,0.1515,0.86,0.1642,0,84,84
"898",898,2011-02-09,1,0,2,21,0,3,1,2,0.14,0.1515,0.86,0.1642,0,83,83
"899",899,2011-02-09,1,0,2,22,0,3,1,3,0.16,0.1667,0.8,0.1642,4,42,46
"900",900,2011-02-09,1,0,2,23,0,3,1,3,0.16,0.1515,0.8,0.194,0,37,37
"901",901,2011-02-10,1,0,2,0,0,4,1,3,0.14,0.1364,0.86,0.194,0,16,16
"902",902,2011-02-10,1,0,2,1,0,4,1,3,0.14,0.1515,0.8,0.1343,0,7,7
"903",903,2011-02-10,1,0,2,2,0,4,1,3,0.14,0.1515,0.8,0.1343,0,3,3
"904",904,2011-02-10,1,0,2,4,0,4,1,2,0.14,0.1364,0.59,0.2239,0,1,1
"905",905,2011-02-10,1,0,2,5,0,4,1,2,0.12,0.1212,0.5,0.2239,0,6,6
"906",906,2011-02-10,1,0,2,6,0,4,1,2,0.12,0.1212,0.54,0.2836,0,26,26
"907",907,2011-02-10,1,0,2,7,0,4,1,1,0.1,0.0758,0.5,0.4179,0,99,99
"908",908,2011-02-10,1,0,2,8,0,4,1,1,0.1,0.0758,0.49,0.3284,5,173,178
"909",909,2011-02-10,1,0,2,9,0,4,1,1,0.12,0.1061,0.42,0.3582,1,121,122
"910",910,2011-02-10,1,0,2,10,0,4,1,1,0.12,0.1061,0.42,0.2985,1,34,35
"911",911,2011-02-10,1,0,2,11,0,4,1,1,0.14,0.1212,0.39,0.3582,1,44,45
"912",912,2011-02-10,1,0,2,12,0,4,1,1,0.16,0.1364,0.34,0.3881,4,65,69
"913",913,2011-02-10,1,0,2,13,0,4,1,1,0.18,0.1667,0.29,0.2985,3,59,62
"914",914,2011-02-10,1,0,2,14,0,4,1,1,0.2,0.1818,0.27,0.2836,6,42,48
"915",915,2011-02-10,1,0,2,15,0,4,1,1,0.2,0.197,0.25,0.2537,0,50,50
"916",916,2011-02-10,1,0,2,16,0,4,1,1,0.2,0.1818,0.27,0.2985,4,76,80
"917",917,2011-02-10,1,0,2,17,0,4,1,1,0.18,0.1818,0.26,0.194,6,159,165
"918",918,2011-02-10,1,0,2,18,0,4,1,1,0.16,0.1818,0.28,0.1343,3,157,160
"919",919,2011-02-10,1,0,2,19,0,4,1,1,0.14,0.1667,0.28,0.1045,2,110,112
"920",920,2011-02-10,1,0,2,20,0,4,1,1,0.14,0.1818,0.31,0.0896,4,93,97
"921",921,2011-02-10,1,0,2,21,0,4,1,1,0.14,0.2121,0.39,0,2,70,72
"922",922,2011-02-10,1,0,2,22,0,4,1,1,0.12,0.197,0.39,0,4,47,51
"923",923,2011-02-10,1,0,2,23,0,4,1,1,0.12,0.1515,0.42,0.1045,1,33,34
"924",924,2011-02-11,1,0,2,0,0,5,1,1,0.1,0.1364,0.49,0.1045,2,12,14
"925",925,2011-02-11,1,0,2,1,0,5,1,1,0.1,0.1364,0.54,0.0896,1,6,7
"926",926,2011-02-11,1,0,2,2,0,5,1,1,0.1,0.1364,0.54,0.0896,0,3,3
"927",927,2011-02-11,1,0,2,5,0,5,1,1,0.08,0.1212,0.63,0.0896,0,4,4
"928",928,2011-02-11,1,0,2,6,0,5,1,1,0.1,0.1818,0.68,0,1,23,24
"929",929,2011-02-11,1,0,2,7,0,5,1,1,0.08,0.1667,0.73,0,1,73,74
"930",930,2011-02-11,1,0,2,8,0,5,1,1,0.1,0.1212,0.74,0.1642,4,212,216
"931",931,2011-02-11,1,0,2,9,0,5,1,1,0.12,0.1212,0.74,0.2239,8,132,140
"932",932,2011-02-11,1,0,2,10,0,5,1,1,0.14,0.1364,0.69,0.194,5,39,44
"933",933,2011-02-11,1,0,2,11,0,5,1,1,0.22,0.2273,0.47,0.1343,12,52,64
"934",934,2011-02-11,1,0,2,12,0,5,1,1,0.22,0.2273,0.47,0.1343,7,64,71
"935",935,2011-02-11,1,0,2,13,0,5,1,1,0.24,0.2273,0.35,0.194,21,89,110
"936",936,2011-02-11,1,0,2,14,0,5,1,1,0.3,0.2879,0.26,0.2537,17,67,84
"937",937,2011-02-11,1,0,2,15,0,5,1,1,0.32,0.3182,0.21,0.1642,12,62,74
"938",938,2011-02-11,1,0,2,16,0,5,1,1,0.3,0.2879,0.28,0.194,14,111,125
"939",939,2011-02-11,1,0,2,17,0,5,1,1,0.3,0.3333,0.24,0,18,193,211
